trip_headsign,Departure Date,Departure Time,Origin,Arrival Time,Destination,Stops
9898,2024-08-11,06:31:00,Montpellier Saint-Roch,14:42:00,Rodange,"[['Montpellier Saint-Roch', 0, 0, '06:31:00', 0], ['Nîmes Centre', '06:56:00', 0, '06:59:00', 0], ['Valence TGV Rhône-Alpes Sud', '07:43:00', 0, '07:48:00', 0], ['Lyon Part Dieu', '08:24:00', 0, '08:34:00', 0], ['Dijon', '09:59:00', 0, '10:08:00', 0], ['Besançon Franche-Comté TGV', '10:34:00', 0, '10:36:00', 0], ['Belfort - Montbéliard TGV', '10:57:00', 0, '10:59:00', 0], ['Mulhouse', '11:21:00', 0, '11:24:00', 0], ['Colmar', '11:49:00', 0, '11:52:00', 0], ['Strasbourg', '12:24:00', 0, '12:31:00', 0], ['Metz', '13:24:00', 0, '13:29:00', 0], ['Thionville', '13:48:00', 0, 0, 0], ['Rodange', '14:42:00', 0, 0, 0]]"
2242,2024-08-11,07:02:00,Nice-Ville,15:54:00,Strasbourg,"[['Nice-Ville', 0, 0, '07:02:00', 0], ['Antibes', '07:15:00', 0, '07:18:00', 0], ['Cannes', '07:27:00', 0, '07:31:00', 0], ['Saint-Raphaël Valescure', '07:53:00', 0, '07:56:00', 0], ['Les Arcs - Draguignan', '08:09:00', 0, '08:12:00', 0], ['Toulon', '08:45:00', 0, '08:49:00', 0], ['Marseille Saint-Charles', '09:32:00', 0, '09:46:00', 0], ['Aix-en-Provence TGV', '09:57:00', 0, '10:00:00', 0], ['Avignon TGV', '10:19:00', 0, '10:22:00', 0], ['Lyon Part Dieu', '11:26:00', 0, '11:38:00', 0], ['Mâcon', '12:13:00', 0, '12:16:00', 0], ['Beaune', '13:03:00', 0, '13:06:00', 0], ['Dijon', '13:26:00', 0, '13:38:00', 0], ['Besançon Franche-Comté TGV', '14:06:00', 0, '14:09:00', 0], ['Belfort - Montbéliard TGV', '14:29:00', 0, '14:32:00', 0], ['Mulhouse', '14:54:00', 0, '14:58:00', 0], ['Colmar', '15:24:00', 0, '15:27:00', 0], ['Strasbourg', '15:54:00', 0, 0, 0]]"
5516,2024-08-11,07:02:00,Nice-Ville,17:02:00,Nancy,"[['Nice-Ville', 0, 0, '07:02:00', 0], ['Antibes', '07:15:00', 0, '07:18:00', 0], ['Cannes', '07:27:00', 0, '07:31:00', 0], ['Saint-Raphaël Valescure', '07:53:00', 0, '07:56:00', 0], ['Les Arcs - Draguignan', '08:09:00', 0, '08:12:00', 0], ['Toulon', '08:45:00', 0, '08:49:00', 0], ['Marseille Saint-Charles', '09:32:00', 0, '09:46:00', 0], ['Aix-en-Provence TGV', '09:57:00', 0, '10:00:00', 0], ['Avignon TGV', '10:19:00', 0, '10:22:00', 0], ['Lyon Part Dieu', '11:26:00', 0, '11:38:00', 0], ['Mâcon', '12:13:00', 0, '12:16:00', 0], ['Beaune', '13:03:00', 0, '13:06:00', 0], ['Dijon', '13:26:00', 0, '13:38:00', 0], ['Besançon Franche-Comté TGV', '14:06:00', 0, '14:09:00', 0], ['Belfort - Montbéliard TGV', '14:29:00', 0, '14:32:00', 0], ['Mulhouse', '14:54:00', 0, '14:58:00', 0], ['Colmar', '15:24:00', 0, '15:27:00', 0], ['Strasbourg', '15:54:00', 0, '16:00:00', 0], ['Nancy', '17:02:00', 0, 0, 0]]"
9862,2024-08-11,07:03:00,Perpignan,15:25:00,Bruxelles Midi,"[['Perpignan', 0, 0, '07:03:00', 0], ['Narbonne', '07:43:00', 0, '07:46:00', 0], ['Béziers', '08:01:00', 0, '08:04:00', 0], ['Agde', '08:15:00', 0, '08:18:00', 0], ['Sète', '08:31:00', 0, '08:34:00', 0], ['Montpellier Saint-Roch', '08:54:00', 0, '08:59:00', 0], ['Nîmes Centre', '09:24:00', 0, '09:27:00', 0], ['Valence TGV Rhône-Alpes Sud', '10:10:00', 0, '10:15:00', 0], ['Lyon Part Dieu', '10:55:00', 300, '11:00:00', 0], ['Marne-la-Vallée Chessy', '12:47:00', 0, '12:51:00', 0], ['Aéroport Charles de Gaulle 2 TGV', '13:01:00', 0, '13:07:00', 0], ['TGV Haute Picardie', '13:36:00', 0, '13:40:00', 0], ['Arras', '13:57:00', 0, '14:04:00', 0], ['Lille Europe', '14:24:00', 0, '14:51:00', 0], ['Bruxelles Midi', '15:25:00', 0, 0, 0]]"
5376,2024-08-11,07:34:00,Marseille Saint-Charles,14:12:00,Le Havre,"[['Marseille Saint-Charles', 0, 0, '07:34:00', 0], ['Avignon TGV', '08:03:00', 0, '08:06:00', 0], ['Valence TGV Rhône-Alpes Sud', '08:39:00', 0, '08:44:00', 0], ['Lyon Part Dieu', '09:20:00', 0, '09:30:00', 0], ['Massy-Palaiseau', '11:38:00', 0, '11:41:00', 0], ['Versailles Chantiers', '11:55:00', 0, '11:58:00', 0], ['Mantes-la-Jolie', '12:29:00', 0, '12:32:00', 0], ['Rouen Rive Droite', '13:17:00', 0, '13:22:00', 0], ['Le Havre', '14:12:00', 0, 0, 0]]"
9877,2024-08-11,08:10:00,Metz,15:04:00,Marseille Saint-Charles,"[['Metz', 0, 0, '08:10:00', 0], ['Strasbourg', '08:57:00', 0, '09:14:00', 600], ['Mulhouse', '10:05:00', 600, '10:08:00', 600], ['Belfort - Montbéliard TGV', '10:29:00', 600, '10:31:00', 600], ['Besançon Franche-Comté TGV', '10:52:00', 600, '10:54:00', 600], ['Dijon', '11:21:00', 600, '11:31:00', 600], ['Mâcon', '12:28:00', 600, '12:31:00', 600], ['Lyon Part Dieu', '12:56:00', 0, '13:10:00', 0], ['Valence TGV Rhône-Alpes Sud', '13:51:00', 300, '13:51:00', 0], ['Avignon TGV', '14:26:00', 0, '14:29:00', 0], ['Aix-en-Provence TGV', '14:49:00', 0, '14:52:00', 0], ['Marseille Saint-Charles', '15:04:00', 0, 0, 0]]"
9513,2024-08-11,08:12:00,Marseille Saint-Charles,17:29:00,Stuttgart Hbf,"[['Marseille Saint-Charles', 0, 0, '08:12:00', 0], ['Aix-en-Provence TGV', '08:23:00', 0, '08:26:00', 0], ['Avignon TGV', '08:45:00', 0, '08:48:00', 0], ['Lyon Part Dieu', '09:53:00', 0, '10:03:00', 0], ['Chalon-sur-Saône', '11:03:00', 0, '11:06:00', 0], ['Besançon Franche-Comté TGV', '12:01:00', 0, '12:04:00', 0], ['Belfort - Montbéliard TGV', '12:24:00', 0, '12:27:00', 0], ['Mulhouse', '12:50:00', 0, '12:53:00', 0], ['Strasbourg', '13:43:00', 0, '13:52:00', 0], ['Sarrebruck', '15:19:00', 0, '15:21:00', 0], ['Kaiserslautern Hbf', '15:55:00', 0, '15:57:00', 0], ['Mannheim Hbf', '16:39:00', 0, '16:41:00', 0], ['Stuttgart Hbf', '17:29:00', 0, 0, 0]]"
9812,2024-08-11,08:17:00,Bruxelles Midi,14:12:00,Montpellier Saint-Roch,"[['Bruxelles Midi', 0, 0, '08:17:00', 0], ['Lille Europe', '08:51:00', 0, '09:01:00', 0], ['Aéroport Charles de Gaulle 2 TGV', '09:53:00', 0, '09:59:00', 0], ['Marne-la-Vallée Chessy', '10:08:00', 0, '10:13:00', 0], ['Lyon Part Dieu', '12:00:00', 0, '12:25:00', 900], ['Valence TGV Rhône-Alpes Sud', '12:55:00', 600, '13:00:00', 600], ['Nîmes Centre', '13:43:00', 600, '13:46:00', 600], ['Montpellier Saint-Roch', '14:12:00', 600, 0, 0]]"
9506,2024-08-11,08:35:00,Munich,16:22:00,Paris Est,"[['Munich', 0, 0, '08:35:00', 0], ['Augsburg Hbf', '09:06:00', 0, '09:09:00', 0], ['Ulm Hbf', '09:49:00', 0, '09:51:00', 0], ['Stuttgart Hbf', '10:45:00', 0, '10:52:00', 0], ['Mannheim Hbf', '11:36:00', 0, '11:42:00', 0], ['Kaiserslautern Hbf', '12:21:00', 0, '12:22:00', 0], ['Sarrebruck', '12:59:00', 0, '13:00:00', 0], ['Paris Est', '16:22:00', 5400, 0, 0]]"
8562,2024-08-11,08:48:00,Tarbes,14:16:00,Paris Montparnasse Hall 1 - 2,"[['Tarbes', 0, 0, '08:48:00', 0], ['Lourdes', '09:03:00', 0, '09:13:00', 0], ['Pau', '09:41:00', 0, '09:44:00', 0], ['Dax', '10:39:00', 300, '10:48:00', 300], ['Bordeaux Saint-Jean', '12:06:00', 0, '12:12:00', 0], ['Paris Montparnasse Hall 1 - 2', '14:16:00', 0, 0, 0]]"
