trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN12213F3090511:2024-07-05T00:31:08Z,19:11:00,19:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F3090511:2024-07-05T00:31:08Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12213F3090511:2024-07-05T00:31:08Z,22:23:00,22:26:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F3090511:2024-07-05T00:31:08Z,23:06:00,23:09:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F3090511:2024-07-05T00:31:08Z,23:38:00,23:38:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12213F3090751:2024-08-06T00:26:38Z,19:11:00,19:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F3090751:2024-08-06T00:26:38Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12213F3090751:2024-08-06T00:26:38Z,22:22:00,22:25:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F3090751:2024-08-06T00:26:38Z,23:03:00,23:06:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F3090751:2024-08-06T00:26:38Z,23:36:00,23:36:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12213F3090752:2024-07-23T00:28:40Z,19:11:00,19:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F3090752:2024-07-23T00:28:40Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12213F3090752:2024-07-23T00:28:40Z,22:22:00,22:25:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F3090752:2024-07-23T00:28:40Z,23:03:00,23:06:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F3090752:2024-07-23T00:28:40Z,23:36:00,23:36:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12213F3091104:2024-04-16T00:31:58Z,19:11:00,19:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F3091104:2024-04-16T00:31:58Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12213F3091104:2024-04-16T00:31:58Z,22:23:00,22:26:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F3091104:2024-04-16T00:31:58Z,23:07:00,23:10:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F3091104:2024-04-16T00:31:58Z,23:42:00,23:42:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12213F3094116:2024-08-04T00:27:29Z,19:11:00,19:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F3094116:2024-08-04T00:27:29Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12213F3094116:2024-08-04T00:27:29Z,22:22:00,22:25:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F3094116:2024-08-04T00:27:29Z,23:02:00,23:05:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F3094116:2024-08-04T00:27:29Z,23:36:00,23:36:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12213F3094117:2024-04-16T00:31:58Z,19:11:00,19:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F3094117:2024-04-16T00:31:58Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12213F3094117:2024-04-16T00:31:58Z,22:22:00,22:25:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F3094117:2024-04-16T00:31:58Z,23:02:00,23:05:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F3094117:2024-04-16T00:31:58Z,23:36:00,23:36:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12213F3097003:2024-07-05T00:31:08Z,19:11:00,19:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12213F3097003:2024-07-05T00:31:08Z,21:14:00,21:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12213F3097003:2024-07-05T00:31:08Z,22:23:00,22:26:00,StopPoint:OCETGV INOUI-87586008,2,,0,0,
OCESN12213F3097003:2024-07-05T00:31:08Z,23:06:00,23:09:00,StopPoint:OCETGV INOUI-87611244,3,,0,0,
OCESN12213F3097003:2024-07-05T00:31:08Z,23:38:00,23:38:00,StopPoint:OCETGV INOUI-87611004,4,,1,0,
OCESN12234F3091206:2024-07-27T00:41:07Z,09:26:00,09:26:00,StopPoint:OCETGV INOUI-87677005,0,,0,1,
OCESN12234F3091206:2024-07-27T00:41:07Z,09:37:00,09:39:00,StopPoint:OCETGV INOUI-87677120,1,,0,0,
OCESN12234F3091206:2024-07-27T00:41:07Z,09:50:00,09:53:00,StopPoint:OCETGV INOUI-87673400,2,,0,0,
OCESN12234F3091206:2024-07-27T00:41:07Z,10:08:00,10:11:00,StopPoint:OCETGV INOUI-87673004,3,,0,0,
OCESN12234F3091206:2024-07-27T00:41:07Z,10:41:00,10:46:00,StopPoint:OCETGV INOUI-87673202,4,,0,0,
OCESN12234F3091206:2024-07-27T00:41:07Z,12:06:00,12:12:00,StopPoint:OCETGV INOUI-87581009,5,,0,0,
OCESN12234F3091206:2024-07-27T00:41:07Z,14:16:00,14:16:00,StopPoint:OCETGV INOUI-87391003,6,,1,0,
OCESN12244F3090436:2024-08-10T00:26:19Z,18:46:00,18:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12244F3090436:2024-08-10T00:26:19Z,20:42:00,20:45:00,StopPoint:OCETGV INOUI-87393702,1,,1,0,
OCESN12244F3090436:2024-08-10T00:26:19Z,20:55:00,20:55:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12244F3133852:2024-08-10T00:26:19Z,18:46:00,18:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12244F3133852:2024-08-10T00:26:19Z,20:42:00,20:45:00,StopPoint:OCETGV INOUI-87393702,1,,1,0,
OCESN12244F3133852:2024-08-10T00:26:19Z,20:55:00,20:55:00,StopPoint:OCETGV INOUI-87391003,2,,1,0,
OCESN12246F3285340:2024-08-10T00:26:19Z,19:46:00,19:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12246F3285340:2024-08-10T00:26:19Z,21:49:00,21:49:00,StopPoint:OCETGV INOUI-87391003,1,,1,0,
OCESN12249F3272643:2024-07-27T00:41:07Z,16:11:00,16:11:00,StopPoint:OCETGV INOUI-87391003,0,,0,1,
OCESN12249F3272643:2024-07-27T00:41:07Z,18:14:00,18:20:00,StopPoint:OCETGV INOUI-87581009,1,,0,0,
OCESN12249F3272643:2024-07-27T00:41:07Z,19:34:00,19:38:00,StopPoint:OCETGV INOUI-87673202,2,,0,0,
OCESN12249F3272643:2024-07-27T00:41:07Z,20:10:00,20:13:00,StopPoint:OCETGV INOUI-87673004,3,,0,0,
