route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000001,OCESN12213F3090511:2024-07-05T00:31:08Z,12213,1,1,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000002,OCESN12213F3090751:2024-08-06T00:26:38Z,12213,1,2,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000003,OCESN12213F3090752:2024-07-23T00:28:40Z,12213,1,3,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000004,OCESN12213F3091104:2024-04-16T00:31:58Z,12213,1,4,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000005,OCESN12213F3094116:2024-08-04T00:27:29Z,12213,1,5,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000006,OCESN12213F3094117:2024-04-16T00:31:58Z,12213,1,6,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000007,OCESN12213F3097003:2024-07-05T00:31:08Z,12213,1,7,
FR:Line::75E9980B-E8DF-4696-8E87-123692055B00:,000008,OCESN12234F3091206:2024-07-27T00:41:07Z,12234,1,8,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000009,OCESN12244F3090436:2024-08-10T00:26:19Z,12244,0,9,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000010,OCESN12244F3133852:2024-08-10T00:26:19Z,12244,0,10,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000011,OCESN12246F3285340:2024-08-10T00:26:19Z,12246,0,11,
FR:Line::75E9980B-E8DF-4696-8E87-123692055B00:,000012,OCESN12249F3272643:2024-07-27T00:41:07Z,12249,0,12,
FR:Line::75E9980B-E8DF-4696-8E87-123692055B00:,000013,OCESN12249F3272912:2024-07-30T00:27:16Z,12249,0,13,
FR:Line::75E9980B-E8DF-4696-8E87-123692055B00:,000014,OCESN12249F3298808:2024-07-10T00:42:13Z,12249,0,14,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000015,OCESN12250F2148759:2024-08-10T00:26:19Z,12250,0,15,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000016,OCESN12250F2470376:2024-08-10T00:26:19Z,12250,0,16,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000017,OCESN12250F2586064:2024-08-10T00:26:19Z,12250,0,17,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000018,OCESN12250F3090954:2024-08-10T00:26:19Z,12250,0,18,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000019,OCESN12251F2181625:2024-08-10T00:26:19Z,12251,1,19,
FR:Line::75E9980B-E8DF-4696-8E87-123692055B00:,000020,OCESN12253F3092202:2024-07-24T00:30:14Z,12253,0,20,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000021,OCESN12254F2859338:2024-08-10T00:26:19Z,12254,0,21,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000022,OCESN12254F2898534:2024-08-10T00:26:19Z,12254,0,22,
