dataset_id;Federated dataset;Title;Description;Themes;Keywords;License;Language;Timezone;Modified;Data processed;Metadata processed;Publisher;Reference;Attributions;Created;Issued;Creator;Contributor;Contact name;Contact email;Accrual periodicity;Spatial;Temporal;Granularity;Data quality;Publisher type;Cycle de publication;Périodicité de mise à jour;Number of records;Published;Statut de publication
accidents-passagers;False;Accidents passagers depuis 2008;Le jeu de données a pour objectif de donner le nombre de circulations ayant un accident. Cette information est donnée sur une échelle de gravité à 3 niveaux : accidents avec tués / accidents avec blessés graves / accidents avec blessés légers.  Définitions : Tué : toute personne se trouvant dans le train, tuée sur le coup ou décédant dans les 30 jours.  Blessé grave : toute personne se trouvant dans le train, qui a été hospitalisée pendant plus de 24 heures.  Blessé léger : toute personne se trouvant dans le train, dont la durée de l’hospitalisation est inférieure à 24 heures ou toute personne ayant fait une déclaration de blessure, même s’il n’y a pas eu hospitalisation.  Ces données sont issues du Rapport annuel Sécurité de l'exploitation sur le réseau ferré national français. Publié chaque année, ce rapport dresse le bilan des activités sécurité de l’entreprise et répond à l’obligation d’information faite à SNCF selon les termes de l’article 17 du décret n° 2006- 1279.;Sécurité ferroviaire;Sécurité,Accidents,Sécurité & Qualité de Service Ferroviaire;Open Database License (ODbL);fr;;2023-06-28;2023-06-28;2023-06-28;SNCF;;;;2014-07-24;;;;;Annuelle;;Depuis 2008;;;;;Annuelle;45;True;En retard
accompagnement-pmr-gares;False;Accompagnement de personnes à mobilité réduite dans les gares;Ces données fournissent le nombre d'accompagnements de personnes à mobilité réduite dans les gares depuis 2015.;Gares,Services voyageurs;Accessibilité,Gare de voyageurs;Open Database License (ODbL);fr;;2022-03-23;2022-03-23;2022-03-23;Gares & Connexions;;;2015-02-17;2015-02-17;;;;;Mensuelle;;Depuis 2015;Par accompagnement;;;;Mensuelle;51861;True;En retard
accords-collectifs;False;Accords collectifs nationaux;Accords collectifs nationaux visant à mettre en place des politiques sociales communes à l’ensemble des salariés du Groupe public ferroviaire (SNCF).  Ce jeu de données traduit la mise en place de l’unité sociale du Groupe public ferroviaire en 2015. Le dialogue social soutenu avec les organisations syndicales s’est concrétisé par la signature de 22 accords collectifs nationaux.  La grande majorité des accords a permis de mettre en place des politiques sociales communes à l’ensemble des salariés du GPF (SNCF, SNCF Réseau, SNCF Mobilités) en matière d’égalité professionnelle entre les femmes et les hommes et la mixité, l’amélioration de la politique d’aide au logement, les actions en faveur de l’emploi des travailleurs handicapés, une protection sociale renforcée pour les contractuels.   Certains accords ont permis d’introduire  des dispositions novatrices comme l’intéressement  au sein de SNCF Réseau et de SNCF Mobilités qui reconnaissent et associent les salariés au résultat de chacun de ces deux EPIC. De même, le Groupe public ferroviaire a mis en place un plan épargne de groupe, ainsi qu'un compte épargne temps avec des possibilités de le monétiser donnant ainsi plus de marges de manœuvres aux salariés.  Des dispositifs sont également mis en place à l’échelle du Groupe SNCF. Ainsi une bourse de l’emploi et une charte de mobilité signée par les sociétés du groupe, favorisent des mobilités plus larges et plus diversifiées à l’ensemble des collaborateurs.;Social et ressources humaines;Social,Salariés,Organisations syndicales,Direction Cohésion;Open Database License (ODbL);fr;;2017-04-13;2017-04-13;2021-03-30;SNCF;;;;2016-03-03;;;;;Sur évènement;;Depuis 2015;SNCF;;;;Irrégulière;22;True;
agents-repos-dimanche;False;Agents SNCF ayant leur repos le dimanche;"Nombre d'agents SNCF ayant leur repos le dimanche. ""Collège"" : classification selon les collèges de représentation du personnel, à savoir ""exécution"", ""maîtrise"" et ""cadre"".""Alinéa A"" : personnels de directions centrales et régionales, à l'exception des personnels affectés dans des entités opérationnelles (postes de commandement et surveillance générale par exemple) qui relèvent des alinéas B et C.""Alinéa B"" : personnels des établissements et des entités opérationnelles visés à l’alinéa A mais qui ne sont pas soumis aux contraintes particulières qui justifient le mode de répartition visé à l’alinéa C.""Alinéa C"" : personnels et emplois des établissements et des entités opérationnelles visées à l’alinéa A qui sont soumis à des cycles de roulement. Ces données sont issues du Bilan social publié chaque année par la Direction cohésion & ressources humaines de SNCF. Le bilan social présente les données relatives à l’ensemble du personnel de l’entreprise à l’exception des médecins qui interviennent dans le cadre de la médecine du travail et de la médecine de soins des agents en activité, des stagiaires, des concierges et du personnel contractuel sous contrait aidé.  

  A partir de 2019, le type d’effectif prise en compte par
le Bilan Social a été modifié : les effectifs présentés sont les effectifs
totaux ( et non plus les effectifs « réels).";Social et ressources humaines;Social,Ressources humaines,Conditions de travail,Direction Cohésion;Open Database License (ODbL);fr;;2024-03-18;2024-03-18;2024-03-18;SNCF;;;;;Direction cohésion & ressources humaines;;;;Annuelle;;Depuis 2010;;;;;Annuelle;78;True;
agents-nationalite-etrangere;False;Agents SNCF de nationalité étrangère;"Agents de nationalité étrangère au 31 décembre depuis 2010. ""Collège"" : classification selon les collèges de représentation du personnel, à savoir “exécution”, “maîtrise” et “cadre”.“Agents au statut” : également désigné par “cadre permanent” à l’intérieur de SNCF, cette notion désigne une position statutaire, quelque soit le collège de l’agent, conforme aux dispositions de la directive interne RH 001 (“Statut des relations collectives entre la SNCF et son personnel”).""Agents contractuels"" : désigne un agent qui n’est pas au statut, mais et qui est lié à SNCF par un contrat de travail de droit commun.Le personnel roulant comprend les agents de conduite (« exécution roulants conduite ») et les chefs de bord (“exécution roulants trains »). Ces données sont issues du Bilan social publié chaque année par la Direction cohésion & ressources humaines de SNCF. Le bilan social présente les données relatives à l’ensemble du personnel de l’entreprise à l’exception des médecins qui interviennent dans le cadre de la médecine du travail et de la médecine de soins des agents en activité, des stagiaires, des concierges et du personnel contractuel sous contrait aidé.  

  A partir de 2019, le type d’effectif prise en compte par
le Bilan Social a été modifié : les effectifs présentés sont les effectifs
totaux ( et non plus les effectifs « réels).";Social et ressources humaines;Social,Ressources humaines,Direction Cohésion;Open Database License (ODbL);fr;;2023-01-03;2023-01-03;2023-01-03;SNCF;;;2014-07-07;;Direction cohésion & ressources humaines;;;;Annuelle;;Depuis 2010;;;;;Annuelle;120;True;En retard
agents-situation-handicap;False;Agents SNCF en situation de handicap;"Agents SNCF en situation de handicap et en service au 31 décembre depuis 2010.  *Suite à la réforme ferroviaire, le jeu de données prend en compte les agents en situation de handicap par EPIC, sans distinction de statut. “Agents au statut” : également désigné par “cadre permanent” à l’intérieur de SNCF, cette notion désigne une position statutaire, quelque soit le collège de l’agent, conforme aux dispositions de la directive interne RH 001 (“Statut des relations collectives entre la SNCF et son personnel”).""Agents contractuels"" : désigne un agent qui n’est pas au statut, mais et qui est lié à SNCF par un contrat de travail de droit commun.   En application de la loi n° 2005 – 102 du 11 février 2005 pour l'égalité des droits et des chances, la participation et la citoyenneté des personnes handicapées, notamment les dispositions relatives au calcul de l’obligation d’emploi des travailleurs handicapés, le nombre d’unités déclaratives repris dans cet indicateur correspond au prorata des agents reconnus travailleurs de l’Épic SNCF, selon les trois critères suivants : temps de présence en entreprise, temps de travail et durée de la validité de la reconnaissance travailleur handicapé.   Ces données sont issues du Bilan social publié chaque année par la Direction cohésion & ressources humaines de SNCF. Le bilan social présente les données relatives à l’ensemble du personnel de l’entreprise à l’exception des médecins qui interviennent dans le cadre de la médecine du travail et de la médecine de soins des agents en activité, des stagiaires, des concierges et du personnel contractuel sous contrait aidé.  

  

  A partir de 2019, le type d’effectif prise en compte par
le Bilan Social a été modifié : les effectifs présentés sont les effectifs
totaux ( et non plus les effectifs « réels).";Social et ressources humaines;Social,Ressources humaines,Direction Cohésion;Open Database License (ODbL);fr;;2024-03-18;2024-03-18;2024-03-18;SNCF;;;2014-07-07;;Direction cohésion & ressources humaines;;;;Annuelle;;Depuis 2010;;;;;Annuelle;13;True;
api-navitia-io;False;API Navitia.io;Navitia.io est une API qui vous permet d'ajouter plusieurs services dans vos applications d'information voyageur.  Jouez avec les données de transport de plusieurs réseaux dans le monde (Île-de-France, Sa Francisco, Berlin, Nantes, NYC, Pays-Bas, etc.) et profitez de plusieurs services avec cette API :  calcul des itinérairesexploration des donnéesisochronesprochains départsfiches horaires Adresse de l'API : http://navitia.io/;Horaires et itinéraires;Horaire,Calcul d'itinéraire,API,Monde;Plusieurs licences;fr;;2021-04-06;;2021-04-06;SNCF Voyageurs;;;;2013-01-23;;;;;;http://navitia.io/;;;;;;;0;True;
api-temps-reel-transilien-old;False;API temps réel Transilien;"API donnant accès aux prochains départs pour une gare donnée du réseau SNCF Transilien. 
	Le nombre d'appels est actuellement limité à 20 appels/minutes. Pour obtenir des identifiants d'accès à l'API, merci de faire votre 
	demande par mail. 
	Accédez au 
	guide d'utilisation de l'API Temps réel Transilien.  
	Adresse de l'API : 
	https://api.transilien.com";Horaires et itinéraires;Horaire,API,Ile-de-France,Transilien;Open Database License (ODbL);fr;;2021-03-30;;2024-01-10;SNCF Voyageurs;;;;2012-07-04;Transilien;;;;;https://api.transilien.com;Temps réel;Gare et train Transilien;;;;;0;True;
api-sncf;False;API théorique et temps réel;Accédez aux horaires planifiés et temps réel des trains SNCF ainsi qu'au moteur de calcul d'itinéraire.  L'API SNCF est accessible sur https://numerique.sncf.com/startup/api/;Horaires et itinéraires;API,Horaires,Temps réel;https://www.digital.sncf.com/startup/API/conditions-generales-dutilisation-de-lapi-sncf;fr;;2023-04-17;;2023-04-17;SNCF;;;;;;;;;Temps réel;;;;;;;Irrégulière;0;True;
archives-sncf-sardo;False;Archives SNCF;"Le Service Archives Documentation du Groupe SNCF présente son jeu de données Archives. Afin de refléter au mieux la richesse et la diversité des
fonds conservés, cette base de données recense des archives historiques
numérisées issues de toutes les périodes de l’histoire de la SNCF depuis la
création du chemin de fer en FrancePlus de 12.500 dossiers sont présentées dans ce jeu de
données. Tous ces documents sont consultables sur le site https://www.archives.sncf.com grâce
à un moteur de recherche performant.
Le volume
d’archives disponible mis en ligne sera enrichi régulièrement avec de nouvelles
thématiques.";Archives et documentation,Patrimoine;Archives,Service Archives Documentation,Transparence;Open Database License (ODbL);fr;;2023-12-21;2023-12-21;2023-12-24;SNCF;;;;;;;;;;;;;;;;Irrégulière;12447;True;
