Date;Régularité composite;Ponctualité origine
2015-01;91.62735849;85.28053799
2015-02;90.32565226;84.24818395
2015-03;93.42179437;87.45324889
2015-04;90.80117291;85.34217507
2015-05;91.37351019;85.04879495
2015-06;87.69708552;82.61288252
2015-07;84.8871536;79.81940586
2015-08;89.10212807;82.23483195
2015-09;89.54580299;84.63810137
2015-10;91.01391093;85.12431301
2015-11;90.93459752;85.5465368
2015-12;93.66599943;85.69521572
2016-01;92.67430755;87.10609384
2016-02;92.33344995;86.59545912
2016-03;91.62976301;85.75787294
2016-04;92.12507529;84.25280899
2016-05;89.7803199;83.89974032
2016-06;85.09926131;78.11773819
2016-07;87.33201581;80.58290445
2016-08;89.92306155;83.55114917
2016-09;89.07758578;83.81976161
2016-10;87.86464984;82.79676955
2016-11;86.22490367;82.60001141
2016-12;89.76953067;83.65454041
2017-01;89.66624501;83.17150338
2017-02;91.84434968;85.41468631
2017-03;91.50611659;85.12143494
2017-04;89.73424995;83.76683163
2017-05;89.89189458;83.4941708
2017-06;85.39496308;78.65289678
2017-07;85.6090735;78.95786035
2017-08;87.52348927;80.99534987
2017-09;88.78889421;80.73233131
2017-10;90.20271837;82.20942408
2017-11;88.17894434;82.2616408
2017-12;86.54036944;78.52552186
2018-01;90.0;83.8
2018-02;88.5;81.6
2018-03;90.6;83.1
2018-04;88.1;79.8
2018-05;88.2;79.3
2018-06;84.5;77.6
2018-07;81.7;75.4
2018-08;87.4;78.7
2018-09;89.1;81.7
2018-10;88.4;82.7
2018-11;88.1;82.6
2018-12;88.3;81.9
2019-01;91.4;85.2
2019-02;91.1;84.9
2019-03;91.8;86.7
2019-04;91.7;87.2
2019-05;92.1;88.9
2019-06;87.3;83.2
2019-07;88.4;83.3
2019-08;90.7;85.6
2019-09;91.37290348;86.32730571
2019-10;89.44335531;85.10437074
2019-11;89.00498568;83.52589045
2019-12;85.87403012;81.32854578
2020-01;89.62428754;84.77777778
2020-02;90.37654763;85.2803873
2020-03;86.93253072;84.93354401
2020-04;85.22088353;73.51712615
2020-05;92.1221374;88.63097255
2020-06;93.20715374;90.17367048
2020-07;90.75866189;86.96598101
2020-08;91.05486199;87.29827226
2020-09;92.50287089;89.31814027
2020-10;91.94295337;88.62307283
2020-11;93.59064657;90.37071945
2020-12;92.82958433;88.80967639
2021-01;89.07392614;87.31641369
2021-02;90.19337967;87.84667263
2021-03;94.26990848;90.73214042
2021-04;94.55950847;89.69378654
2021-05;92.13175331;88.67864424
2021-06;89.83497191;86.69826779
2021-07;89.92330071;83.570484
2021-08;91.61019175;85.81034936
2021-09;90.02805836;85.67340067
2021-10;88.53910477;84.83357928
2021-11;87.3421964;84.30342978
2021-12;89.70380818;85.55607794
2022-01;92.50290789891083;88.22565295548272
2022-02;92.3807344697403;85.80253975517675
2022-03;90.81163084702908;83.8685208596713
2022-04;88.64038860496888;82.4672367555533
2022-05;88.69100623330364;81.4732363708321
2022-06;83.6681887366819;78.55910705225774
2022-07;79.70771205687764;74.26187419768935
2022-08;85.91583915052601;79.08760200570248
2022-09;89.6246440590215;81.41858659073259
2022-10;87.9018992074174;80.44464383629929
2022-11;89.11568071312804;81.88816855753646
2022-12;86.51685393258427;78.27715355805243
2023-01;89.06548325506992;82.38815212343258
2023-02;90.83840432724814;83.00653594771242
2023-03;88.69316375198727;82.09220985691574
2023-04;88.30311288254951;81.28602871816372
2023-05;89.31159420250452;81.59722222222221
2023-06;85.05885299326272;78.50237916353619
2023-07;85.99553681999205;78.25440119018101
2023-08;86.98881077595603;79.86434300425785
2023-09;87.03658237166657;80.48612816106065
2023-10;86.9804108935012;80.94601051122791
2023-11;84.69475061664754;79.78257587196134
2023-12;87.5180932162559;82.27829779021519
2024-01;86.64980052427946;82.92303201323344
2024-02;89.55487707028014;85.51073972896245
2024-03;88.3295416055932;83.83755264049567
2024-04;88.1360090280315;83.67106618909769
2024-05;89.955486743623;84.80743177859493
2024-06;87.98562213703481;83.47530651435324
