trip_headsign,Departure Date,Departure Time,Origin,Arrival Time,Destination,Stops
6165,2024-09-17,11:22:00,Paris Gare de Lyon Hall 1 - 2,18:43:00,Nice-Ville,"[['Paris Gare de Lyon Hall 1 - 2', 0, 0, '11:22:00', 0], ['Avignon TGV', '14:51:00', 3000, '14:59:00', 3300], ['Toulon', '16:39:00', 5400, '16:43:00', 5400], ['Saint-Raphaël Valescure', '17:42:00', 6000, '17:45:00', 6000], ['Cannes', '18:10:00', 6000, '18:14:00', 6000], ['Antibes', '18:23:00', 6000, '18:26:00', 6000], ['Nice-Ville', '18:43:00', 6000, 0, 0]]"
9879,2024-09-17,11:24:00,Luxembourg,18:50:00,Montpellier Sud de France,"[['Luxembourg', 0, 0, '11:24:00', 0], ['Thionville', '11:50:00', 300, '11:53:00', 300], ['Metz', '12:10:00', 300, '12:15:00', 300], ['Strasbourg', '13:02:00', 300, '13:06:00', 60], ['Mulhouse', '13:54:00', 0, '13:57:00', 0], ['Belfort - Montbéliard TGV', '14:18:00', 0, '14:21:00', 0], ['Besançon Franche-Comté TGV', '14:41:00', 0, '14:44:00', 0], ['Dijon', '15:11:00', 0, '15:21:00', 0], ['Mâcon', '16:18:00', 0, '16:21:00', 0], ['Lyon Part Dieu', '16:56:00', 0, '17:10:00', 0], ['Valence TGV Rhône-Alpes Sud', '17:46:00', 0, '17:51:00', 0], ['Nîmes Pont du Gard', '18:27:00', 0, '18:30:00', 0], ['Montpellier Sud de France', '18:50:00', 0, 0, 0]]"
6176,2024-09-17,12:03:00,Nice-Ville,18:30:00,Paris Gare de Lyon Hall 1 - 2,"[['Nice-Ville', 0, 0, '12:03:00', 0], ['Antibes', '12:16:00', 0, '12:20:00', 0], ['Cannes', '12:30:00', 0, '12:34:00', 0], ['Saint-Raphaël Valescure', '12:55:00', 0, '13:03:00', 300], ['Toulon', '13:50:00', 300, '13:54:00', 300], ['Marseille Saint-Charles', '14:37:00', 300, '14:46:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '18:30:00', 2400, 0, 0]]"
9866,2024-09-17,12:14:00,Marseille Saint-Charles,17:48:00,Bruxelles Midi,"[['Marseille Saint-Charles', 0, 0, '12:14:00', 0], ['Aix-en-Provence TGV', '12:25:00', 0, '12:28:00', 0], ['Avignon TGV', '12:47:00', 0, '12:51:00', 0], ['Lyon Part Dieu', '13:53:00', 0, '14:00:00', 0], ['Marne-la-Vallée Chessy', '15:51:00', 300, '15:55:00', 300], ['Aéroport Charles de Gaulle 2 TGV', '16:05:00', 300, '16:12:00', 300], ['Lille Europe', '17:03:00', 300, '17:14:00', 300], ['Bruxelles Midi', '17:48:00', 300, 0, 0]]"
5537,2024-09-17,12:26:00,Nancy,20:41:00,Toulon,"[['Nancy', 0, 0, '12:26:00', 0], ['Strasbourg', '13:29:00', 0, '13:37:00', 0], ['Colmar', '14:05:00', 0, '14:08:00', 0], ['Mulhouse', '14:36:00', 0, '14:40:00', 0], ['Belfort - Montbéliard TGV', '15:02:00', 0, '15:06:00', 0], ['Besançon Franche-Comté TGV', '15:29:00', 0, '15:36:00', 0], ['Dijon', '16:04:00', 0, '16:20:00', 0], ['Beaune', '16:39:00', 0, '16:42:00', 0], ['Lyon Part Dieu', '17:56:00', 0, '18:06:00', 0], ['Avignon TGV', '19:08:00', 0, '19:11:00', 0], ['Aix-en-Provence TGV', '19:30:00', 0, '19:33:00', 0], ['Marseille Saint-Charles', '19:45:00', 0, '19:59:00', 0], ['Toulon', '20:41:00', 0, 0, 0]]"
7673,2024-09-17,12:37:00,Paris Montparnasse Hall 1 - 2,17:42:00,Toulouse Matabiau,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '12:37:00', 0], ['Massy TGV', '12:46:00', 0, '12:49:00', 0], ['Angoulême', '14:29:00', 0, '14:32:00', 0], ['Bordeaux Saint-Jean', '15:08:00', 0, '15:19:00', 0], ['Agen', '16:22:00', 0, '16:25:00', 0], ['Montauban Ville Bourbon', '17:05:00', 0, '17:08:00', 0], ['Toulouse Matabiau', '17:42:00', 300, 0, 0]]"
8582,2024-09-17,12:38:00,Tarbes,17:49:00,Paris Montparnasse Hall 1 - 2,"[['Tarbes', 0, 0, '12:38:00', 0], ['Lourdes', '12:52:00', 0, '13:02:00', 0], ['Pau', '13:27:00', 0, '13:35:00', 300], ['Orthez', '13:55:00', 300, '13:58:00', 300], ['Dax', '14:25:00', 300, '14:29:00', 0], ['Bordeaux Saint-Jean', '15:40:00', 0, '15:46:00', 0], ['Paris Montparnasse Hall 1 - 2', '17:49:00', 0, 0, 0]]"
5306,2024-09-17,12:44:00,Nantes,17:49:00,Lyon Perrache,"[['Nantes', 0, 0, '12:44:00', 0], ['Angers Saint-Laud', '13:23:00', 0, '13:26:00', 0], ['Saumur', '13:46:00', 0, '13:49:00', 0], ['Saint-Pierre-des-Corps', '14:24:00', 0, '14:28:00', 0], ['Massy TGV', '15:18:00', 0, '15:26:00', 0], ['Lyon Part Dieu', '17:30:00', 0, '17:40:00', 0], ['Lyon Perrache', '17:49:00', 0, 0, 0]]"
6941,2024-09-17,12:46:00,Paris Gare de Lyon Hall 1 - 2,17:42:00,Annecy,"[['Paris Gare de Lyon Hall 1 - 2', 0, 0, '13:16:00', 1800], ['Mâcon - Loché TGV', '15:04:00', 2700, '15:07:00', 2700], ['Chambéry - Challes-les-Eaux', '16:35:00', 3600, '16:48:00', 3600], ['Aix-les-Bains le Revard', '16:58:00', 3600, '17:01:00', 3600], ['Annecy', '17:42:00', 4200, 0, 0]]"
5284,2024-09-17,12:58:00,Bordeaux Saint-Jean,17:58:00,Lille Europe,"[['Bordeaux Saint-Jean', 0, 0, '12:58:00', 0], ['Angoulême', '13:34:00', 0, '13:37:00', 0], ['Poitiers', '14:21:00', 300, '14:24:00', 300], ['Saint-Pierre-des-Corps', '14:57:00', 300, '15:01:00', 300], ['Massy TGV', '15:47:00', 0, '15:55:00', 0], ['Marne-la-Vallée Chessy', '16:26:00', 0, '16:31:00', 0], ['Aéroport Charles de Gaulle 2 TGV', '16:41:00', 0, '16:47:00', 0], ['TGV Haute Picardie', '17:17:00', 0, '17:31:00', 0], ['Lille Europe', '17:58:00', 0, 0, 0]]"
